prompt,response
Address for Pinacla Subang ?,"Pinnacle Subhang Jaya Sales ,G29, Ground Floor, Subang Parade Shopping Centre,Jalan SS16/1, 47500, Subang Jaya, Selangor."
What is the contact time ?,Monday - Sunday : 10:00 AM - 9:00 PM
What is their office timing ?,Monday - Sunday : 10:00 AM - 9:00 PM
What time they are open ?,Monday - Sunday : 10:00 AM - 9:00 PM
Contact Number ?,018-388-7720
Phone Number ?,018-388-7720
What is Email address ?,enquiry.psj@pinnaclehomes.com.my
Shopping Malls ?,"100Meter distance Subang Parade,200Meter distance Aeon Big Subang Jaya , 850 Meter distance Toyota Malaysia Subang Jaya, 4.2 Kilometer distance Summit USJ"
Commercials near by ?,"100Meter distance Subang Parade,200Meter distance Aeon Big Subang Jaya , 850 Meter distance Toyota Malaysia Subang Jaya, 4.2 Kilometer distance Summit USJ"
Education or Schools Near by ?,"1.5 Kilometer INTL International College Subang, Sri Kulala Lampur International School, 3.5 Kilometer Monash University"
Medical Near by ?,"1.5 Kilometer Subang Jaya Medical Centre ( SJMC ), 4.0 Kilometer Sunway Medical Centre"
Hospital near By ?,"1.5 Kilometer Subang Jaya Medical Centre ( SJMC ), 4.0 Kilometer Sunway Medical Centre"
